shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88178,46.47348,30.72805,237,
88178,46.4735,30.72777,239,
88178,46.47352,30.72764,241,
88178,46.47354,30.72741,243,
88178,46.47358,30.72691,245,
88178,46.47365,30.7258,247,
88178,46.47367,30.72565,249,
88178,46.47367,30.72558,251,
88178,46.47369,30.72533,253,
88178,46.47371,30.72513,255,
88178,46.47367,30.72505,257,
88178,46.47363,30.72496,259,
88178,46.47358,30.72488,261,
88178,46.47352,30.72483,263,
88178,46.47343,30.72479,265,
88178,46.47296,30.72528,267,
88178,46.4729,30.72535,269,
88178,46.47277,30.72548,271,
88178,46.47275,30.72552,273,
88178,46.47253,30.72576,275,
88178,46.47247,30.72565,277,
88178,46.47247,30.72565,279,
88178,46.47247419182088,30.725744962692264,281,
88178,46.47247,30.72565,286,
88178,46.47247,30.72565,288,
88178,46.47253,30.72576,290,
88178,46.47245,30.72584,292,
88178,46.47228,30.72603,294,
88178,46.47213,30.72621,296,
88178,46.47176,30.72661,298,
88178,46.47144,30.72698,300,
88178,46.47118,30.72721,302,
88178,46.47103,30.72732,304,
88178,46.47092,30.72717,306,
88178,46.47082,30.72702,308,
88178,46.47075,30.72691,310,
88178,46.47002,30.72567,312,
88178,46.46983,30.72535,314,
88178,46.46966,30.72507,316,
88178,46.46957,30.7249,318,
88178,46.46964,30.7248,320,
88178,46.46964,30.7248,322,
88178,46.46964,30.724799,324,
88178,46.46964,30.7248,329,
88178,46.46964,30.7248,331,
88178,46.46957,30.7249,333,
88178,46.46955,30.72488,335,
88178,46.46927,30.72443,337,
88178,46.46871,30.72355,339,
88178,46.46856,30.72329,341,
88178,46.46803,30.72237,343,
88178,46.46743,30.72138,345,
88178,46.46719,30.72099,347,
88178,46.46695,30.72061,349,
88178,46.46691,30.72054,351,
88178,46.46661,30.72007,353,
88178,46.46635,30.71966,355,
88178,46.46614,30.71934,357,
88178,46.46609,30.71927,359,
88178,46.46619,30.71913,361,
88178,46.46619,30.71913,363,
88178,46.466191,30.719133,365,
88178,46.46619,30.71913,370,
88178,46.46619,30.71913,372,
88178,46.46609,30.71927,374,
88178,46.46597,30.71908,376,
88178,46.46588,30.71895,378,
88178,46.46573,30.71872,380,
88178,46.46549,30.71833,382,
88178,46.46539,30.71816,384,
88178,46.46528,30.71799,386,
88178,46.46513,30.71773,388,
88178,46.46498,30.71752,390,
88178,46.46459,30.71685,392,
88178,46.46453,30.71676,394,
88178,46.46419,30.71621,396,
88178,46.46397,30.71586,398,
88178,46.46361,30.71526,400,
88178,46.46326,30.71473,402,
88178,46.46296,30.71423,404,
88178,46.46283,30.71402,406,
88178,46.46273,30.71385,408,
88178,46.46262,30.71368,410,
88178,46.4626,30.71363,412,
88178,46.46253,30.71355,414,
88178,46.46206,30.71355,416,
88178,46.46177,30.71353,418,
88178,46.46178,30.71338,420,
88178,46.46178,30.71338,422,
88178,46.461778,30.713377,424,
88178,46.46178,30.71338,429,
88178,46.46178,30.71338,431,
88178,46.46177,30.71353,433,
88178,46.46163,30.71352,435,
88178,46.46133,30.71352,437,
88178,46.46127,30.71352,439,
88178,46.4611,30.71352,441,
88178,46.4609,30.71352,443,
88178,46.46084,30.71352,445,
88178,46.46084,30.71333,447,
88178,46.46084,30.71307,449,
88178,46.46084,30.71282,451,
88178,46.46084,30.71241,453,
88178,46.46084,30.71213,455,
88178,46.46082,30.71183,457,
88178,46.46082,30.7117,459,
88178,46.46082,30.71123,461,
88178,46.46082,30.71089,463,
88178,46.46082,30.71074,465,
88178,46.46082,30.71048,467,
88178,46.46082,30.71031,469,
88178,46.46082,30.71024,471,
88178,46.46082,30.7099,473,
88178,46.46082,30.70983,475,
88178,46.46082,30.70953,477,
88178,46.4608,30.70913,479,
88178,46.4608,30.70857,481,
88178,46.4608,30.70689,483,
88178,46.4608,30.70662,485,
88178,46.4608,30.70647,487,
88178,46.46077,30.70629,489,
88178,46.46077,30.70576,491,
88178,46.46077,30.70533,493,
88178,46.46088,30.70534,495,
88178,46.46089,30.70519,497,
88178,46.46089,30.70519,499,
88178,46.460889,30.705193,501,
88178,46.46089,30.70519,506,
88178,46.46089,30.70519,508,
88178,46.46088,30.70534,510,
88178,46.46077,30.70533,512,
88178,46.46077,30.70477,514,
88178,46.46077,30.70434,516,
88178,46.46077,30.70376,518,
88178,46.46077,30.70348,520,
88178,46.46077,30.70254,522,
88178,46.46077,30.7017,524,
88178,46.46077,30.70063,526,
88178,46.46077,30.69926,528,
88178,46.46077,30.69896,530,
88178,46.46075,30.69878,532,
88178,46.46075,30.69823,534,
88178,46.46075,30.6976,536,
88178,46.46075,30.69754,538,
88178,46.46075,30.69732,540,
88178,46.46075,30.69724,542,
88178,46.46075,30.69713,544,
88178,46.46075,30.69707,546,
88178,46.46075,30.697,548,
88178,46.46074,30.69668,550,
88178,46.46085,30.69668,552,
88178,46.46085,30.69668,554,
88178,46.46085,30.696678,556,
88178,46.46085,30.69668,561,
88178,46.46085,30.69668,563,
88178,46.46074,30.69668,565,
88178,46.46071,30.69488,567,
88178,46.4606,30.69213,569,
88178,46.4606,30.6919,571,
88178,46.4606,30.69177,573,
88178,46.46054,30.69121,575,
88178,46.46065,30.69123,577,
88178,46.46075,30.69123,579,
88178,46.46088,30.69119,581,
88178,46.46092,30.69117,583,
88178,46.46129,30.69087,585,
88178,46.46133,30.69082,587,
88178,46.46136,30.6908,589,
88178,46.46142,30.69093,591,
88178,46.46142,30.69093,593,
88178,46.461416,30.690929,595,
88178,46.46142,30.69093,600,
88178,46.46142,30.69093,602,
88178,46.46136,30.6908,604,
88178,46.46172,30.69048,606,
88178,46.46185,30.69037,608,
88178,46.46206,30.69018,610,
88178,46.46238,30.6899,612,
88178,46.46382,30.68868,614,
88178,46.46436,30.68823,616,
88178,46.46457,30.68803,618,
